country_code,country_name,indicator_id,indicator_name,index_id,index_name,value,year
#country+code,#country+name,#indicator+id,#indicator+name,#index+id,#index+name,#indicator+value+num,#date+year
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,18.404,2000
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,18.588,2001
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,18.615,2002
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,18.754,2003
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,19.216,2004
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,19.146,2005
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,19.174,2006
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,19.187,2007
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,19.026,2008
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,18.812,2009
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,18.416,2010
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,18.082,2011
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,17.888,2012
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,17.276,2013
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,16.747,2014
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,16.850,2015
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,16.956,2016
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,16.822,2017
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,16.628,2018
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,16.398,2019
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,15.453,2020
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,14.915,2021
AUS,Australia,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,14.915,2022
AUS,Australia,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,9.599,2010
AUS,Australia,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,9.541,2011
AUS,Australia,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,9.447,2012
AUS,Australia,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,9.494,2013
AUS,Australia,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,9.052,2014
AUS,Australia,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,9.018,2015
AUS,Australia,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,8.565,2016
AUS,Australia,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,8.610,2017
AUS,Australia,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,8.887,2018
AUS,Australia,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,8.905,2019
AUS,Australia,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,8.693,2020
